state_code,district_number,rep_name,rep_audio_url
MP,0,Kimberlyn King-Hinds,/n400-audio/State/Northern%20Mariana%20Islands/House of rep/Delegate/Kimberlyn_King-Hinds.mp3
MS,1,Trent Kelly,/n400-audio/State/Mississippi/House of rep/1st/Trent_Kelly.mp3
MS,2,Bennie Thompson,/n400-audio/State/Mississippi/House of rep/2nd/Bennie_Thompson.mp3
MS,3,Michael Guest,/n400-audio/State/Mississippi/House of rep/3rd/Michael_Guest.mp3
MS,4,Mike Ezell,/n400-audio/State/Mississippi/House of rep/4th/Mike_Ezell.mp3
MT,1,Ryan Zinke,/n400-audio/State/Montana/House of rep/1st/Ryan_Zinke.mp3
MT,2,Troy Downing,/n400-audio/State/Montana/House of rep/2nd/Troy_Downing.mp3
NC,1,Donald Davis,/n400-audio/State/North%20Carolina/House of rep/1st/Donald_Davis.mp3
NC,2,Deborah Ross,/n400-audio/State/North%20Carolina/House of rep/2nd/Deborah_Ross.mp3
NC,3,Gregory Murphy,/n400-audio/State/North%20Carolina/House of rep/3rd/Gregory_Murphy.mp3
NC,4,Valerie Foushee,/n400-audio/State/North%20Carolina/House of rep/4th/Valerie_Foushee.mp3
NC,5,Virginia Foxx,/n400-audio/State/North%20Carolina/House of rep/5th/Virginia_Foxx.mp3
NC,6,Addison McDowell,/n400-audio/State/North%20Carolina/House of rep/6th/Addison_McDowell.mp3
NC,7,David Rouzer,/n400-audio/State/North%20Carolina/House of rep/7th/David_Rouzer.mp3
NC,8,Mark Harris,/n400-audio/State/North%20Carolina/House of rep/8th/Mark_Harris.mp3
NC,9,Richard Hudson,/n400-audio/State/North%20Carolina/House of rep/9th/Richard_Hudson.mp3
NC,10,Pat Harrigan,/n400-audio/State/North%20Carolina/House of rep/10th/Pat_Harrigan.mp3
NC,11,Chuck Edwards,/n400-audio/State/North%20Carolina/House of rep/11th/Chuck_Edwards.mp3
NC,12,Alma Adams,/n400-audio/State/North%20Carolina/House of rep/12th/Alma_Adams.mp3
NC,13,Brad Knott,/n400-audio/State/North%20Carolina/House of rep/13th/Brad_Knott.mp3
NC,14,Tim Moore,/n400-audio/State/North%20Carolina/House of rep/14th/Tim_Moore.mp3
ND,0,Julie Fedorchak,/n400-audio/State/North%20Dakota/House of rep/At_Large/Julie_Fedorchak.mp3
NE,1,Mike Flood,/n400-audio/State/Nebraska/House of rep/1st/Mike_Flood.mp3
NE,2,Don Bacon,/n400-audio/State/Nebraska/House of rep/2nd/Don_Bacon.mp3
